,L2_code,L2_name,L1_code,L1_name,L3_code,L3_name
1,AFRMWI312,Balaka,AFRMWI3,Southern,AFRMWI31201,TA Msamala
2,AFRMWI312,Balaka,AFRMWI3,Southern,AFRMWI31204,TA Kalembo
3,AFRMWI312,Balaka,AFRMWI3,Southern,AFRMWI31220,Balaka Boma
4,AFRMWI303,Zomba,AFRMWI3,Southern,AFRMWI30301,TA Kuntumanji
5,AFRMWI303,Zomba,AFRMWI3,Southern,AFRMWI30302,TA Mwambo
6,AFRMWI303,Zomba,AFRMWI3,Southern,AFRMWI30304,TA Chikowi
7,AFRMWI303,Zomba,AFRMWI3,Southern,AFRMWI30305,STA Mbiza
8,AFRMWI303,Zomba,AFRMWI3,Southern,AFRMWI30306,TA Mlumbe
9,AFRMWI303,Zomba,AFRMWI3,Southern,AFRMWI30307,TA Malemia
10,AFRMWI303,Zomba,AFRMWI3,Southern,AFRMWI30399,Lake Chilwa
11,AFRMWI303,Zomba,AFRMWI3,Southern,AFRMWI30303,TA Mkumbira
12,AFRMWI314,Zomba City,AFRMWI3,Southern,AFRMWI31431,Mbedza Ward
13,AFRMWI314,Zomba City,AFRMWI3,Southern,AFRMWI31432,Mtiya Ward
14,AFRMWI314,Zomba City,AFRMWI3,Southern,AFRMWI31433,Masondola Ward
15,AFRMWI314,Zomba City,AFRMWI3,Southern,AFRMWI31434,Chikamveka Ward
16,AFRMWI314,Zomba City,AFRMWI3,Southern,AFRMWI31435,Chikamveka NorthWard
17,AFRMWI314,Zomba City,AFRMWI3,Southern,AFRMWI31436,Chilunga East Ward
18,AFRMWI314,Zomba City,AFRMWI3,Southern,AFRMWI31437,Chilunga  Ward
19,AFRMWI307,Thyolo,AFRMWI3,Southern,AFRMWI30701,TA Nsabwe
20,AFRMWI307,Thyolo,AFRMWI3,Southern,AFRMWI30721,Luchenza Township
21,AFRMWI205,Salima,AFRMWI2,Central,AFRMWI20501,TA Maganga
22,AFRMWI205,Salima,AFRMWI2,Central,AFRMWI20502,TA Karonga
23,AFRMWI205,Salima,AFRMWI2,Central,AFRMWI20503,TA Pemba
24,AFRMWI205,Salima,AFRMWI2,Central,AFRMWI20504,STA Kambwiri
